Word,pos,meaning,rank
gym,名,体育館 ,160
highway,名,幹線道路,161
respondent,名,回答者,162
jewelry,名,宝石,163
overtime,名,時間外労働,164
battery,名,電池,165
donate,動,寄贈・寄付する,166
outstanding,形,目立つ、顕著な,167
skim,動,ざっと読む,168
briefcase,名,ブリーフケース,169
dessert,名,デザート,170
impact,名,衝撃、影響,171
innovative,形,革新的な,172
inquire,動,質問する,173
overnight,形,一泊の,174
venue,名,開催地,175
commuter,名,通勤者,176
logo,名,ロゴ、モットー,177
newsletter,名,会報、社報,178
advisor,名,顧問・相談役,179
cartridge,名,カートリッジ,180
cloudy,形,曇った,181
photographer,名,カメラマン ,182
shopper,名,買い物客,183
tag,名,札,184
announcer,名,アナウンサー,185
aspect,名,側面、局面,186
audit,名,監査,187
contractor,名,請負業者,188
download,動,ダウンロードする,189
password,名,合いことば,190
prohibit,動,禁じる,191
stadium,名,競技場、野球場,192
terminal,形,末端の,193
weekday,名,平日,194
bonus,名,ボーナス、予期しない物,195
cart,名,荷馬車、カート,196
delicious,形,おいしい,197
ink,名,インク、墨 ,198
supervise,動,監督する,199
waitress,名,ウェイトレス ,200
cleaner,名,清掃員,201
developer,名,宅地開発業者、開発者,202
headquarter,名,本社・本部,203
shuttle,名,折返し運転,204
stationery,名,文房具,205
subscribe,動,定期購読する,206
alike,形,似ている、同様な,207
flavor,名,味,208
picnic,名,ピクニック,209
recipe,名,レシピ、調理法,210
refreshment,名,飲食物,211
administrative,形,管理の,212
authorize,動,権限を与える,213
commonly,副,一般に,214
distribution,名,配布、流通,215
sofa,名,ソファ ,216
accommodate,動,収容する,217
affordable,形,手頃な価格の,218
annoy,動,いらいらさせる,219
commute,動,通勤する,220
coordinate,名,座標,221
paperwork,名,事務書類・書類作業,222
quit,動,やめる,223
authority,名,権限,224
flu,名,インフルエンザ,225
captain,名,キャプテン、指導者,226
installation,名,設置,227
trainer,名,訓練する人,228
availability,名,利用可能性・都合,229
bargain,名,契約、取引,230
complimentary,形,優待の、無料の,231
hike,動,ハイキングする,232
midnight,名,真夜中、まっ暗やみ,233
productivity,名,生産性,234
rainy,形,雨降りの、雨の多い,235
relocate,動,移転する,236
trainee,名,軍事訓練をうける人,237
transaction,名,業務，取引,238
unhappy,形,不幸な ,239
verify,動,実証する,240
automobile,名,自動車 ,241
courier,名,宅配便業者、宅配便,242
incomplete,形,不完全な,243
questionnaire,名,アンケート,244
baseball,名,野球,245
dock,名,波止場,246
lamp,名,ランプ ,247
lately,副,最近,248
machinery,名,機械,249
presenter,名,司会者,250
seldom,副,めったに～しない,251
signature,名,署名,252
worldwide,形,世界的な,253
carrier,名,運搬人,254
designate,動,指名する、指定する,255
exclusive,形,排他的な,256
grocery,名,食料雑貨類,257
homework,名,宿題、予習,258
memorandum,名,メモ,259
photocopier,名,コピー機,260
suite,名,ひと揃い,261
thorough,形,徹底的な、完全な,262
bookstore,名,本屋 ,263
cater,動,料理を提供する,264
dental,形,歯の,265
duration,名,継続時間、継続期間,266
lounge,動,ぶらぶらする,267
painter,名,画家 ,268
patron,名,後援者,269
prescription,名,処方箋,270
productive,形,生産的な,271
salad,名,サラダ,272
stack,名,山積みのもの,273
delegate,名,代表、代理人,274
salesperson,名,販売員,275
calculator,名,計算機,276
completion,名,完成、完了,277
defect,名,欠陥、不備,278
garbage,名,ごみ、生ごみ,279
omit,動,省略する,280
spite,名,悪意,281
bathroom,名,トイレ,282
cab,名,タクシー ,283
correspondence,名,通信,284
ladder,名,はしご,285
photography,名,写真術、写真撮影,286
sculpture,名,彫刻,287
anniversary,名,記念日,288
buffet,名,ビュッフェ,289
defective,形,不完全な,290
ice cream,名,アイスクリーム,291
leak,動,漏れる,292
occupancy,名,占有・収容人数,293
proficiency,名,熟達,294
renewal,名,再開発、再生,295
urgent,形,緊急の,296
annually,副,例年・年に一度,297
basketball,名,バスケットボール,298
delete,動,削除する,299
illogical,形,不合理な,300
pet,名,ペット,301
textbook,名,教科書,302
accurately,副,正確に,303
cabin,名,小屋、客室,304
conductor,名,車掌、指揮者,305
inspector,名,検査官,306
intern,名,実習生、インターン,307
semester,名,学期,308
confirmation,名,確認,309
congratulation,名,祝い・おめでとう,310
expertise,名,専門知識,311
graph,名,グラフ、図表,312
taker,名,受験者・受け手,313
utility,名,有益,314
voucher,名,クーポン券,315
banker,名,銀行家,316
behalf,名,援助、支持、利益,317
minimize,動,最小にする,318
optional,形,選択できる,319
paycheck,名,給与・給与小切手,320
polite,形,礼儀正しい ,321
protective,形,保護の,322
seller,名,売り手、販売人 ,323
sidewalk,名,歩道,324
sightsee,動,観光する,325
soup,名,スープ,326
transit,名,交通、通過,327
wallet,名,財布,328
cashier,名,レジ係,329
casual,形,形式ばらない,330
drill,動,ドリルで穴を開ける ,331
fountain,名,噴水、噴水池,332
juice,名,ジュース,333
lane,名,車線、レーン,334
popularity,名,人気,335
poster,名,ポスター,336
promptly,副,即座に,337
retailer,名,小売業者,338
vacancy,名,空室、空き,339
bench,名,ベンチ,340
cumulative,形,累積する,341
directory,名,人名録,342
disposal,名,処分、処理,343
housekeeper,名,主婦,344
internship,名,インターンシップ,345
knowledgeable,形,物知りの,346
organizer,名,創立委員,347
overdue,形,期日を過ぎた,348
prediction,名,予想,349
subscriber,名,予約者、購読者,350
booklet,名,小冊子,351
conditioner,名,空気調節装置,352
enroll,動,登録する、入学させる,353
frustrate,動,挫折させる,354
garment,名,衣服、衣類,355
orientation,名,方向性,356
outlet,名,出口,357
packet,名,小さな束、小包,358
plumber,名,配管工,359
specification,名,仕様、明細事項,360
auto,名,自動車,361
decorate,動,飾る,362
deduction,名,控除,363
definite,形,確定した、明確な,364
economical,形,経済的な,365
efficiently,副,効率的に,366
flyer,名,チラシ,367
franchise,名,選挙権、販売権,368
generous,形,寛大な、惜しみない,369
interrupt,動,邪魔する、中断する,370
oven,名,オーブン、かまど ,371
pant,動,あえぐ,372
profitable,形,有益な、収益の高い,373
refrigerator,名,冷蔵庫,374
reimburse,動,払い戻す、返済する,375
showroom,名,ショールーム,376
vegetarian,名,菜食主義者,377
administrator,名,管理者,378
broker,名,株式仲買人,379
cancellation,名,取り消し,380
confidential,形,秘密の、機密の,381
jet,名,ジェット機 ,382
realistic,形,現実的な,383
thoroughly,副,完全に,384
trash,名,ごみ,385
usage,名,利用、使用量,386
windy,形,風の強い,387
automate,動,自動化する,388
ferry,名,フェリー,389
finalize,動,仕上げる・決定する,390
incur,動,（損害、傷などを）被る,391
instruct,動,教える、指示する,392
loyal,形,忠実な、誠実で,393
luncheon,名,昼食会,394
microphone,名,マイクロホン,395
overview,名,概略,396
projector,名,発起人、投光器,397
shortage,名,不足,398
spacious,形,広々とした、雄大な,399
accomplishment,名,完成、成就,400
accustom,動,慣らす,401
clinic,名,診療所 ,402
desktop,名,デスクトップ,403
jog,名,ジョギング,404
leisure,名,娯楽、レジャー,405
nap,名,うたた寝,406
reinforce,動,補強する,407
sender,名,発送人,408
vacuum,名,真空,409
wireless,名,無線,410
yearly,形,年一回の、毎年の,411
appreciation,名,感謝,412
cargo,名,積荷,413
cooperate,動,協力する,414
distract,動,気を散らす,415
dividend,名,配当,416
exemption,名,免除,417
furnish,動,供給する,418
hourly,形,時間ごとの,419
laundry,名,洗濯、洗濯物,420
mandatory,形,義務的な，強制の,421
mechanical,形,機械の,422
pharmacy,名,薬局、薬学,423
promotional,形,宣伝用の,424
quarterly,副,季刊で,425
residential,形,居住の,426
scholarship,名,学問、奨学金,427
seeker,名,探求者,428
temporarily,副,一時的に、仮に,429
towel,名,タオル,430
unattended,形,放置された・付き添いのない,431
accessible,形,接近できる,432
afterward,副,その後 ,433
apology,名,謝罪,434
assemble,動,組み立てる,435
automatic,形,自動の,436
boardroom,名,重役用会議室,437
carpenter,名,大工 ,438
caterer,名,ケータリング業者,439
classify,動,分類する,440
consultation,名,相談,441
durable,形,永続性のある,442
glove,名,手袋,443
hardware,名,金属製品,444
malfunction,名,故障・誤作動,445
outdated,形,時代遅れの,446
patience,名,忍耐,447
postcard,名,葉書,448
prospective,形,見込みのある,449
revision,名,訂正、改訂,450
strictly,副,厳格に,451
tomato,名,トマト,452
tray,名,盆、盛り皿,453
vendor,名,売主,454
withdrawal,名,撤退,455
anytime,副,いつでも,456
badge,名,バッジ,457
brake,名,ブレーキ ,458
calculation,名,計算,459
coordinator,名,調整役,460
costly,形,費用のかかる,461
equip,動,装備する,462
excursion,名,遠足,463
graphic,形,図表による,464
inexperience,名,未経験・不慣れ,465
lengthy,形,長い,466
librarian,名,司書,467
meantime,名,合間,468
merge,動,合併する,469
performer,名,役者、歌手,470
pharmacist,名,薬剤師,471
pizza,名,ピザ ,472
resignation,名,辞職,473
reviewer,名,批評家,474
terminate,動,終わらせる,475
translation,名,翻訳,476
unfamiliar,形,なじみのない,477
actress,名,女優 ,478
adjacent,形,隣接する,479
alternate,形,交互の,480
congratulate,動,お祝いを述べる,481
escort,名,護衛,482
inexpensive,形,安い,483
mask,名,仮面、マスク,484
purchaser,名,購入者,485
purse,名,財布 ,486
realtor,名,不動産業者,487
rearrange,動,再び配列する,488
reopen,動,再開する,489
soap,名,石鹸,490
spokesperson,名,代弁者，スポークスマン,491
superior,形,上位の、上級の,492
airfare,名,航空運賃,493
bake,動,焼く,494
businessperson,名,実業家・ビジネスマン,495
considerably,形,かなり,496
faulty,形,欠陥のある,497
hobby,名,趣味,498
informal,形,普段の、気軽な,499
kilometer,名,キロメートル ,500
lawn,名,芝生,501
microscope,名,顕微鏡,502
mislead,動,誤解を招く,503
misplace,動,置き忘れる,504
newsstand,名,新聞売店,505
overhead,形,頭上の,506
portfolio,名,金融資産の一覧,507
rack,名,棚、ラック,508
remodel,動,リフォームする,509
statistics,名,統計,510
tunnel,名,トンネル、坑道,511
unlimited,形,無限の,512
vitamin,名,ビタミン,513
zoo,名,動物園,514
alert,名,警戒警報,515
auditorium,名,講堂,516
celebrity,名,名声、有名人,517
deduct,動,差し引く,518
disruption,名,中断、妨害,519
electrician,名,電気工、電気技師,520
enthusiastic,形,熱心な,521
graduation,名,卒業,522
icy,形,氷の、氷のような,523
irregular,形,不規則な,524
login,名,ログイン,525
managerial,形,経営上の,526
mineral,名,鉱物,527
motorcycle,名,オートバイ,528
necessity,名,必要性,529
planner,名,設計者、計画者,530
programmer,名,プログラマー,531
proofread,動,校正する,532
recruiter,名,採用担当者,533
remainder,名,残り、余り,534
statue,名,像,535
steadily,副,着実に,536
stockholder,名,株主,537
vacant,形,空の,538
accessory,名,アクセサリー,539
assembly,名,集会、会合,540
basket,名,かご,541
certification,名,資格証明・認証,542
closure,名,終結、閉鎖,543
dislike,動,嫌う ,544
downstairs,名,階下へ ,545
expiration,名,期限切れ・満了,546
headache,名,頭痛 ,547
jam,名,ジャム,548
nail,名,つめ,549
optimistic,形,楽観的な,550
pedestrian,名,歩行者,551
projection,名,投影,552
sleeve,名,袖,553
suburb,名,郊外、近郊,554
takeover,名,買収、乗っ取り,555
unsure,形,確信のない,556
upstairs,副,二階へ ,557
verbal,形,言葉の,558
visa,名,査証、ビザ,559
wildlife,名,野生生物,560
workforce,名,労働力・全従業員,561
absent,形,欠席の ,562
accumulate,動,蓄積する,563
appraisal,名,査定・評価,564
apprentice,名,見習い、初心者,565
businessman,名,実業家 ,566
ceiling,名,天井 ,567
colorful,形,色彩に富んだ ,568
compensate,動,補償をする,569
costume,名,衣装,570
editorial,名,社説、論説,571
effectiveness,名,有効性,572
facilitate,動,促進する,573
firefighter,名,消防士,574
gasoline,名,ガソリン,575
inappropriate,形,ふさわしくない,576
internet,名,インターネット,577
landlord,名,地主,578
layout,名,配置,579
lunchtime,名,昼食時間,580
payroll,名,給与、従業員名簿,581
pharmaceutical,名,薬,582
plausible,形,もっともらしい,583
premium,名,保険の掛け金,584
safely,副,安全に,585
simplify,動,簡素化する,586
specialty,名,専門,587
tech,名,技術,588
unexpected,形,予期せぬ,589
unspecified,形,指定されていない,590
adhere,動,付着する,591
bankrupt,形,破産した,592
caution,名,用心、警戒,593
clip,動,クリップで留める ,594
comply,動,従う、適合する,595
diner,名,食事客・簡易食堂,596
duplicate,形,複製の,597
eager,形,熱心な、真剣な,598
economist,名,経済学者,599
embassy,名,大使館,600
fasten,動,締める,601
harmful,形,有害な,602
informative,形,情報を与える,603
institute,動,設ける，制定する,604
kit,名,道具一式,605
locally,副,特定の場所で、地元で,606
mentor,名,良き指導者,607
nominate,動,推薦する,608
opt,動,選ぶ,609
parade,名,パレード ,610
physician,名,医師、内科医,611
polish,動,みがく ,612
postage,名,郵便料金,613
recreational,形,レクリエーションの,614
rehearse,動,下稽古をする,615
removal,名,除去、取り外し,616
satisfactory,形,満足のいく,617
seasonal,形,季節の,618
separately,副,別々に,619
turnover,動,ひっくり返る,620
unnecessary,形,無益な、不必要な,621
accordingly,副,それに応じて,622
apple,名,リンゴ,623
applicable,形,適用できる,624
auction,名,競売,625
balcony,名,バルコニー,626
basement,名,地下室,627
beforehand,副,事前に,628
culinary,形,台所の、料理の,629
documentary,名,ドキュメンタリー,630
downturn,名,（景気の）後退,631
earthquake,名,地震,632
elegant,形,上品な,633
excessive,形,過度の,634
generic,形,一般的な,635
jazz,名,ジャズ ,636
lifetime,名,生涯,637
massage,名,マッサージ,638
maximize,動,最大にする,639
mild,形,軽度の、穏やかな ,640
ongoing,形,進行中の,641
periodically,副,定期的に,642
pie,名,パイ ,643
plug,動,栓をする,644
recruitment,名,新会員募集,645
referee,名,審判員,646
referral,名,紹介,647
renown,名,名声,648
runner,名,走者 ,649
sock,名,靴下 ,650
spam,名,迷惑メール,651
surf,動,波乗り遊びをする,652
timetable,名,時刻表,653
vase,名,花瓶、瓶、つぼ,654
aboard,副,乗り物に乗って,655
advancement,名,昇進,656
advertiser,名,広告主,657
alternatively,副,どちらか一方で,658
amuse,動,面白がらせる,659
attorney,名,弁護士,660
authorization,名,権限付与・承認,661
campus,名,大学の構内 ,662
candy,名,キャンデー,663
certify,動,証明する、認定する,664
checkout,名,チェックアウト・会計,665
chemistry,名,化学,666
circulation,名,循環,667
concierge,名,コンシェルジュ,668
consent,名,同意,669
consistently,副,一貫して,670
cookie,名,クッキー,671
deck,名,甲板、デッキ,672
descriptive,形,描写して,673
detach,動,引き離す,674
documentation,名,書類,675
entrepreneur,名,企業家,676
exceptional,形,並外れた,677
familiarize,動,慣れ親しむ,678
hotline,名,ホットライン・相談窓口,679
intonation,名,イントネーション,680
invention,名,発明,681
irritate,動,いらいらさせる,682
locker,名,ロッカー ,683
overlook,動,見渡せる,684
patent,名,特許,685
payable,形,支払い可能な,686
preliminary,形,予備的な,687
salesman,名,セールスマン,688
sauna,名,サウナ,689
smoothly,副,円滑に,690
sunshine,名,日光 ,691
tow,名,牽引する,692
translator,名,翻訳家,693
tuition,名,学費、授業料,694
unavailable,形,利用できない,695
violation,名,違反,696
webpage,名,ウェブページ,697
acceptance,名,受け入れること,698
allocate,動,割り当てる,699
ambitious,形,野心的な,700
appendix,名,付録,701
booth,名,売店,702
clarify,動,明らかにする,703
classmate,名,同級生,704
compile,動,編集する,705
correction,名,訂正、校正,706
customize,動,カスタマイズする,707
dedication,名,熱心、献身,708
diagnose,動,診断する,709
discontinue,動,中止する,710
dishwasher,名,食器洗い機,711
drought,名,干ばつ,712
economize,動,経済的に使用する,713
entrée,名,メイン料理,714
firework,名,花火,715
freight,名,積荷、貨物,716
fry,動,油でいためる,717
gallon,名,ガロン,718
gardener,名,庭師,719
ideally,副,理想的に,720
inclusive,形,包括的な,721
insufficient,形,不十分な,722
introductory,形,入門的な,723
junk,名,がらくた,724
ma'am,名,奥様・お嬢様（敬称）,725
mileage,名,総マイル数,726
noisy,形,騒々しい、うるさい ,727
pan,名,平鍋 ,728
parcel,名,包み、小包、小荷物,729
pasta,名,パスタ,730
periodical,名,定期刊行物、雑誌,731
pill,名,錠剤,732
portable,名,ポータブル,733
punctual,形,時間を守る,734
recreation,名,レクリエーション,735
relieve,動,和らげる,736
reminder,名,思い出させるもの,737
rumor,名,噂 ,738
scarf,名,スカーフ,739
seaside,名,海岸,740
shorten,動,短くする,741
specially,副,特別に,742
spill,動,こぼす、もらす,743
spouse,名,配偶者,744
subtract,動,引き算をする,745
tablet,名,錠剤,746
ton,名,トン ,747
vend,動,販売する,748
yoga,名,ヨガ,749
accent,名,アクセント、訛り ,750
advisory,形,助言を与える,751
asleep,形,眠って ,752
authentic,形,本物の,753
bakery,名,パン屋,754
carton,名,紙パック・段ボール箱,755
compartment,名,区画、仕切った部分,756
compatible,形,互換性のある,757
consumption,名,消費,758
conveniently,副,便利なことに,759
cosmetic,形,化粧用の,760
courtesy,名,礼儀、親切さ,761
creativity,名,創造性,762
disagreement,名,不一致,763
disappointment,名,失望，期待はずれ,764
dissatisfy,動,不満をいだかせる,765
enjoyable,形,楽しい,766
faculty,名,学部,767
favorable,形,好意的な、好ましい,768
foreman,名,職長,769
forum,名,公開討論会,770
founder,名,創設者,771
fundraise,動,資金調達する,772
graphics,名,画像・グラフィックス,773
handy,形,便利な,774
hazardous,形,危険な,775
healthcare,名,医療・ヘルスケア,776
humidity,名,湿度,777
influential,形,影響力がある,778
nationwide,形,全国的な,779
pad,名,詰め物(パッド),780
paraphrase,動,言い換える,781
placement,名,配置,782
postal,形,郵便の,783
publicity,名,評判、知名度,784
renter,名,賃借人,785
repairperson,名,修理工,786
repeatedly,副,繰り返して,787
restroom,名,トイレ,788
silently,副,静かに,789
spa,名,温泉、温泉地,790
spreadsheet,名,集計表,791
stapler,名,ホチキス,792
streamline,動,合理化する,793
substantially,副,実質的に、十分に,794
teller,名,窓口係,795
tidy,形,きちんとした,796
toll,名,通行料,797
toner,名,トナー,798
urgently,副,至急,799
walkway,名,歩道,800
absorb,動,吸収する,801
administer,動,運営する,802
ample,形,十分な,803
antique,形,骨董の,804
bean,名,豆、実 ,805
browse,動,拾い読みする ,806
bye,名,さよなら,807
careless,形,不注意な、軽率な,808
collector,名,収集家,809
conform,動,従う、一致する,810
congestion,名,混雑,811
contradiction,名,矛盾,812
contrary,形,反対の,813
diploma,名,免状、卒業証書,814
distributor,名,配給者,815
dive,動,潜水する,816
energetic,形,精力的な,817
environmentally,副,環境的に,818
escalator,名,エスカレーター,819
exotic,形,異国(風)の,820
fabric,名,布，織物,821
generalization,名,一般化,822
guidance,名,指導、手引き,823
gum,名,⻭ぐき,824
hesitant,形,躊躇した,825
indicator,名,指標,826
individually,副,個々に,827
junior,形,年少の,828
lifestyle,名,生活様式,829
likewise,副,同じく,830
morale,名,士気,831
orchestra,名,オーケストラ,832
organizational,形,組織に関する,833
outlook,名,見解、見通し,834
physics,名,物理学,835
pole,名,棒、さお ,836
puzzle,動,悩ます、困らせる ,837
reflexive,形,再帰的な・反射的な,838
snowy,形,雪の降る,839
steak,名,ステーキ ,840
sticker,名,ステッカー,841
telecommunication,名,電気通信,842
timely,形,時宜を得た,843
uncomfortable,形,心地の悪い,844
amenity,名,快適さ,845
approximate,形,おおよその,846
await,動,待つ,847
barbecue,名,バーベキュー,848
beginner,名,初心者,849
biology,名,生物学,850
blanket,名,毛布 ,851
chairperson,名,議長,852
charitable,形,慈悲深い,853
checkup,名,検診,854
cooler,名,クーラー・冷却器,855
crane,名,ツル,856
dealership,名,販売代理店,857
dependable,形,信頼できる,858
disconnect,動,接続を断つ,859
dispose,動,処分する,860
disrupt,動,混乱させる,861
dynamic,形,生き生きした,862
enthusiastically,副,熱狂的に,863
freelance,名,自由契約者,864
grill,名,焼き肉[魚],865
habitual,形,常習の,866
internationally,副,国際的に,867
invaluable,形,計り知れないほど貴重な,868
messenger,名,使者,869
paperback,名,ペーパーバック,870
rebate,名,一部払い戻し、割戻し,871
recur,動,繰り返される,872
reproduce,動,作り直す,873
spray,動,スプレーを吹きかける,874
staple,名,主要素、主題,875
strategic,形,戦略の,876
stripe,名,縞,877
teen,名,ティーンエージャー ,878
tempt,動,誘惑する,879
timer,名,タイマー,880
unload,動,荷を下ろす,881
unusually,副,一風変わって,882
vacate,動,立ち退く,883
whale,名,クジラ,884
wisely,副,賢く,885
amateur,名,アマチュア,886
ambassador,名,大使、使節,887
anew,副,改めて、新たに、新規に,888
architectural,形,建築上の,889
attain,動,達成する,890
balloon,名,風船 ,891
blueprint,名,設計図,892
bug,名,欠陥、誤り,893
cautious,形,慎重な,894
circuit,名,回路、回線,895
clap,名,拍手,896
commerce,名,商業、通商,897
convey,動,伝える、伝達する,898
cord,名,紐、コード,899
counselor,名,カウンセラー,900
debit,名,借方、借方記入,901
delicate,形,優美な、繊細な,902
dependence,名,依存,903
distraction,名,注意散漫,904
downsize,動,小型化・人員削減する,905
elephant,名,象,906
enthusiasm,名,熱心、熱意,907
enthusiast,名,愛好家,908
evident,形,明らかな,909
flexibility,名,適応性,910
flextime,名,フレックスタイム制,911
fortunately,副,幸いなことに,912
freighter,名,貨物船・輸送機,913
generator,名,発電機、発生器,914
hallway,名,玄関、廊下,915
hamburger,名,ハンバーガー ,916
hazard,名,危険,917
homeowner,名,自宅所有者,918
imperative,名,命令法,919
inflate,動,ふくらませる,920
insert,動,挿入する ,921
lecturer,名,講演者,922
meaningful,形,意味のある、重要な,923
memorize,動,記憶する,924
merchant,名,商人,925
modification,名,修正,926
occupant,名,占有者,927
overcharge,動,過剰請求する,928
oversee,動,監督する,929
petition,名,嘆願,930
pillow,名,枕、まくら状の物 ,931
popcorn,名,ポップコーン,932
pottery,名,陶器,933
professionally,副,専門的に,934
publicize,動,公表する、宣伝する,935
ray,名,光線、視線,936
redecorate,動,模様替えする,937
refinery,名,精製所,938
refresh,動,再び元気づける,939
refundable,形,払い戻し可能な,940
reimbursement,名,払い戻し・返済,941
reliability,名,信頼性,942
reluctant,形,嫌がる,943
sewer,名,下水道,944
skate,名,スケート ,945
skateboard,名,スケートボード,946
sleepy,形,眠い,947
tailor,名,仕立屋,948
termination,名,満了、終了,949
theft,名,盗み,950
thunderstorm,名,激しい雷雨,951
transmission,名,伝達,952
transmit,動,送信する,953
unused,形,未使用の,954
waive,動,放棄する、差し控える,955
yen,名,円（通貨）,956
activate,動,活動的にする,957
additionally,副,加えて,958
affirmative,形,肯定的な,959
baker,名,パン屋,960
brainstorm,動,ブレインストーミングする,961
cage,名,鳥かご、おり ,962
cinema,名,映画館 ,963
collaboration,名,協力,964
condominium,名,分譲マンション,965
consecutive,形,連続的な,966
cordless,形,コードレスの,967
deluxe,形,豪華な,968
desirable,形,望ましい、魅力的な,969
discrepancy,名,食い違い、不一致,970
dispatch,名,急送、急派,971
drawback,名,欠点、障害,972
dull,形,鈍い、退屈な,973
economically,副,経済的に,974
evenly,副,平等に,975
excellence,名,優れていること,976
exclusively,副,独占的に,977
farewell,名,別れ,978
fatigue,名,疲労（感）,979
fiscal,形,会計の,980
fleet,名,艦隊,981
flour,名,小麦粉、粉,982
fog,名,霧,983
formally,副,正式に,984
gram,名,グラム,985
handbook,名,参考書,986
headphone,名,ヘッドホン,987
heater,名,加熱器,988
helmet,名,ヘルメット,989
hiker,名,ハイカー,990
homeless,形,家のない，ホームレスの,991
lighter,名,ライター,992
loudly,副,大声で,993
loyalty,名,忠誠,994
microwave,名,電子レンジ,995
misidentify,動,誤認する,996
neat,形,さっぱりした ,997
nomination,名,指名、推薦,998
officially,副,公に,999
outfit,名,服装ひとそろい,1000
pastry,名,焼き菓子,1001
personalize,動,個人向けにする,1002
poorly,副,貧しく、乏しく,1003
